%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1542259973393067263,0,0,local_cs,5.551115e-17,3.330669e-16,-4.440892e-16,8.77804857508e-11,-0.707106781195,8.77804857527e-11,0.707106781178
1542259973509118529,1,103735900,local_cs,-0.04690294,-0.02839928,0.8586941,0.000220817874418,-0.70783692511,0.000222049309052,0.706375813137
1542259974149545645,2,207338100,local_cs,-0.09374345,-0.05676064,1.716275,0.000440878541874,-0.708564927587,0.000445799507799,0.705645343131
1542259974361903145,3,311075200,local_cs,-0.1406429,-0.08515762,2.574964,0.000660752487159,-0.709292672834,0.000671833038574,0.704913481436
1542259974550062468,4,414691700,local_cs,-0.1874858,-0.1135202,3.432648,0.000879890836023,-0.710018365956,0.000899588711931,0.704182033666
1542259974730572893,5,518430199,local_cs,-0.2343818,-0.141915,4.291335,0.00109880574227,-0.710743702712,0.00112960123828,0.703449291479
1542259974887477577,6,622044800,local_cs,-0.2812195,-0.1702743,5.148987,0.00131697095425,-0.711466963836,0.00136132033282,0.702716992654
1542259975071754509,7,725797700,local_cs,-0.3281178,-0.1986703,6.007777,0.00153493803734,-0.712189971429,0.00159533465695,0.70198329287
1542259975243744506,8,829419900,local_cs,-0.3749547,-0.227029,6.865477,0.00175213518725,-0.712910855908,0.00183103346721,0.701250090101
1542259975440488832,9,933146700,local_cs,-0.4218367,-0.2554151,7.724036,0.00196905361165,-0.713631245341,0.0020689512573,0.700515729975
1542259975644543334,10,1036910000,local_cs,-0.4687329,-0.2838096,8.582886,0.00218554756276,-0.714350666446,0.00230893594531,0.699780692463
1542259983317832849,0,0,local_cs,1.110223e-16,2.220446e-16,-2.220446e-16,8.77804857508e-11,-0.707106781195,8.77804857527e-11,0.707106781178
1542259983456979073,1,103759500,local_cs,0.05154656,-0.02424883,1.000725,0.00154072620691,-0.691537344308,0.00152814616536,0.722337450475
1542259985148614133,2,207590100,local_cs,0.1464632,-0.05051622,1.995659,0.00480894514917,-0.675040435894,0.00476249289763,0.73774968832
1542259985490525831,3,311605500,local_cs,0.2879204,-0.07903059,2.986691,0.00704275750872,-0.657919479897,0.00682299432321,0.753024438041
1542259985819848931,4,415086000,local_cs,0.4657503,-0.1102928,3.963845,0.00778683007693,-0.640219616142,0.00722611103881,0.768118475044
1542259986228233794,5,518869200,local_cs,0.6971645,-0.143877,4.934639,0.00919985302643,-0.621978946125,0.00871511152067,0.782931414693
1542259986614879138,6,622687600,local_cs,0.9715689,-0.1802237,5.887651,0.0105905157743,-0.603533389914,0.0100756181532,0.797203719355
1542259986931595141,7,726431800,local_cs,1.288079,-0.2184877,6.826202,0.0139372978374,-0.584946210595,0.0133078588271,0.81084313115
1542259987292991733,8,830170600,local_cs,1.651331,-0.254729,7.743952,0.0174094323746,-0.56650847255,0.0168102531281,0.823700478076
1542259987714571633,9,933952800,local_cs,2.050498,-0.2919528,8.64624,0.0185000616955,-0.547420431232,0.0177907629596,0.836464050597
1542259988081984102,10,1037695000,local_cs,2.488685,-0.3309237,9.527392,0.0193990994689,-0.52779163056,0.0188625931038,0.848942796796
