%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1542259973446241799,0,0,local_cs,0.0,0.0,0.0,0.499999841466,-0.499999841466,0.499601836645,0.500398163355
1542259974097208083,1,103735000,local_cs,-0.00277306734065,-0.0251923350267,0.675145723822,-0.500344550743,0.500586509213,-0.500509341611,-0.498556793451
1542259974306987483,2,207338000,local_cs,-0.014391944843,-0.0347408728144,1.37152001705,-0.499472952688,0.502062951371,-0.50091452496,-0.497538140325
1542259974499092447,3,311075000,local_cs,-0.0245209802894,-0.0407512669261,2.08482424582,-0.498650104144,0.503484374964,-0.50155264738,-0.496282681251
1542259974678044643,4,414691000,local_cs,-0.0416747107033,-0.0465495396631,2.81731055778,-0.497270119859,0.505251015193,-0.502134665738,-0.495282360887
1542259974833495485,5,518430000,local_cs,-0.0578168333558,-0.0541054987539,3.56187077694,-0.496285174015,0.506321869116,-0.503347600298,-0.493943705479
1542259975011249229,6,622044000,local_cs,-0.0826271249093,-0.0676790568704,4.32785170868,-0.495097105112,0.507912861918,-0.50397672505,-0.49285986022
1542259975184923586,7,725797000,local_cs,-0.112141181543,-0.0810191881631,5.10281261009,-0.493496631668,0.509706724294,-0.504531933562,-0.492044365639
1542259975382889093,8,829419000,local_cs,-0.143380768413,-0.0857852863385,5.89484852229,-0.491725099347,0.511227701941,-0.505236865811,-0.491516401421
1542259975583593466,9,933146000,local_cs,-0.181040941638,-0.0892962903501,6.70561447167,-0.490254854824,0.511773328329,-0.506814410886,-0.490792614706
1542259975731249567,10,1036910000,local_cs,-0.215126955973,-0.096107827103,7.51808274507,-0.489077335046,0.512287348297,-0.508212659605,-0.489984617856
1542259983385652844,0,0,local_cs,0.0,0.0,0.0,0.499999841466,-0.499999841466,0.499601836645,0.500398163355
1542259985089855208,1,103759000,local_cs,0.0407583942836,-0.0177278654245,0.980915765758,0.511609576359,-0.489275801148,0.488174102192,0.510441845598
1542259985430142385,2,207590000,local_cs,0.118539315398,-0.0323381080971,1.99848037532,0.524345920191,-0.477587091645,0.476289576688,0.519730858244
1542259985759844386,3,311605000,local_cs,0.240170739606,-0.0618254398956,2.9640268714,0.536046511368,-0.466276956062,0.463465706459,0.529565365968
1542259986172527847,4,415086000,local_cs,0.40836780763,-0.0618442125638,3.97408373874,0.547298248173,-0.454612572826,0.449760480611,0.539914387894
1542259986557056736,5,518869000,local_cs,0.612542275213,-0.0927620793737,4.93017688825,0.558229137291,-0.441278903166,0.437503792806,0.549766851657
1542259986855291380,6,622687000,local_cs,0.865631711312,-0.11420562358,5.87731756563,0.568982838095,-0.428079906297,0.424442817056,0.559333906381
1542259987235312291,7,726431000,local_cs,1.17843067305,-0.131647213258,6.85847785943,0.580373753526,-0.414629305646,0.411186807851,0.567603958907
1542259987655973809,8,830170000,local_cs,1.5071915,-0.18191707399,7.75109725802,0.590236353579,-0.401665308937,0.398613558436,0.575667662408
1542259988022659719,9,933952000,local_cs,1.89437630767,-0.182584150754,8.65871816383,0.599887053724,-0.388281268193,0.38496932771,0.584099132226
1542259988368543110,10,1037695000,local_cs,2.32646305803,-0.214018444565,9.57233959651,0.60894371741,-0.373808827273,0.371399873591,0.592888390489
